city,cloudiness,lat,long,country,date,humidity,max_temp,wind_speed
turki,0.0,51.99,43.27,RU,1586742783.0,85.0,31.1,9.44
ugoofaaru,99.0,5.67,73.0,MV,1586742784.0,67.0,85.91,10.16
zomin,100.0,39.96,68.4,UZ,1586742784.0,77.0,51.62,6.02
constitucion,1.0,-35.33,-72.42,CL,1586742515.0,50.0,52.39,7.29
sioux lookout,75.0,50.1,-91.92,CA,1586742784.0,45.0,26.6,8.05
kavieng,99.0,-2.57,150.8,PG,1586742650.0,69.0,84.78,4.07
znamenskoye,71.0,57.13,73.83,RU,1586742784.0,81.0,38.01,7.76
kamina,100.0,-8.74,24.99,CD,1586742784.0,69.0,66.02,2.08
tautira,96.0,-17.73,-149.15,PF,1586742785.0,66.0,87.8,8.05
ormara,100.0,25.21,64.64,PK,1586742785.0,67.0,76.82,7.81
spornoye,80.0,50.84,37.29,RU,1586742785.0,40.0,35.6,6.71
daru,46.0,-9.08,143.21,PG,1586742785.0,68.0,85.24,8.81
pevek,46.0,69.7,170.31,RU,1586742785.0,92.0,12.52,9.42
batagay,90.0,67.63,134.63,RU,1586742785.0,91.0,28.29,7.92
srednekolymsk,24.0,67.45,153.68,RU,1586742785.0,92.0,17.78,6.17
baculin,2.0,7.45,126.58,PH,1586742785.0,57.0,85.64,6.87
wajir,93.0,1.75,40.06,KE,1586742786.0,72.0,79.3,10.65
kalabo,16.0,-14.97,22.68,ZM,1586742786.0,59.0,64.08,3.96
kanigoro,27.0,-8.13,112.22,ID,1586742786.0,58.0,84.85,2.26
jasrana,0.0,27.25,78.68,IN,1586742786.0,18.0,91.67,6.26
sao filipe,15.0,14.9,-24.5,CV,1586742487.0,78.0,73.06,6.29
kamenka,0.0,51.32,42.77,RU,1586742487.0,74.0,28.0,1.01
clarence town,96.0,-32.58,151.78,AU,1586742786.0,46.0,75.0,5.82
itoman,75.0,26.12,127.67,JP,1586742389.0,45.0,64.4,32.21
saint anthony,90.0,45.02,-93.22,US,1586742787.0,68.0,30.99,17.22
chervonohryhorivka,51.0,47.62,34.54,UA,1586742787.0,66.0,40.62,8.81
aquiraz,75.0,-3.9,-38.39,BR,1586742787.0,78.0,82.4,2.24
haines junction,73.0,60.75,-137.51,CA,1586742532.0,65.0,33.62,7.09
victoria,5.0,22.29,114.16,HK,1586742787.0,28.0,70.0,12.75
vardo,100.0,70.37,31.11,NO,1586742258.0,98.0,31.51,31.03
malakal,87.0,9.53,31.66,SS,1586742788.0,15.0,79.84,3.27
mount pleasant,90.0,32.79,-79.86,US,1586742788.0,88.0,73.99,12.75
inhambane,0.0,-23.86,35.38,MZ,1586742193.0,84.0,73.51,8.43
berdigestyakh,38.0,62.1,126.7,RU,1586742788.0,79.0,34.97,9.64
novo aripuana,59.0,-5.12,-60.38,BR,1586742788.0,91.0,75.63,0.18
teguldet,0.0,57.31,88.17,RU,1586742788.0,63.0,41.92,8.63
orbetello,91.0,42.44,11.22,IT,1586742788.0,87.0,54.0,1.12
helena,1.0,46.59,-112.04,US,1586742556.0,45.0,28.0,11.41
sangmelima,100.0,2.93,11.98,CM,1586742789.0,80.0,68.41,1.61
namatanai,65.0,-3.67,152.43,PG,1586742789.0,71.0,84.42,5.82
fortuna foothills,1.0,32.66,-114.41,US,1586742789.0,35.0,75.2,11.41
karasjok,100.0,69.47,25.51,NO,1586742789.0,86.0,28.4,29.97
kupino,100.0,54.37,77.3,RU,1586742789.0,72.0,40.06,8.77
carutapera,98.0,-1.2,-46.02,BR,1586742789.0,83.0,79.74,5.3
anori,88.0,-3.77,-61.64,BR,1586742790.0,95.0,74.95,1.45
kodiak,90.0,57.79,-152.41,US,1586742790.0,87.0,42.8,4.7
gizo,79.0,-8.1,156.84,SB,1586742790.0,69.0,86.14,3.15
velikodvorskiy,34.0,55.25,40.67,RU,1586742790.0,86.0,30.97,4.85
faya,35.0,18.39,42.45,SA,1586742790.0,77.0,62.6,5.82
ayagoz,100.0,47.97,80.44,KZ,1586742790.0,71.0,48.99,6.44
santa isabel,75.0,-23.32,-46.22,BR,1586742790.0,82.0,72.0,5.82
gagino,0.0,55.23,45.03,RU,1586742791.0,87.0,29.5,10.8
svetlyy,51.0,54.67,20.13,RU,1586742791.0,61.0,50.0,11.18
sembe,98.0,1.65,14.58,CG,1586742791.0,79.0,69.24,0.94
fare,62.0,-16.7,-151.02,PF,1586742791.0,70.0,84.07,9.91
saint george,1.0,37.1,-113.58,US,1586742791.0,17.0,66.99,11.41
ous,100.0,60.91,61.52,RU,1586742791.0,92.0,37.53,5.84
saskylakh,62.0,71.92,114.08,RU,1586742791.0,90.0,2.93,14.54
camacha,40.0,33.08,-16.33,PT,1586742792.0,77.0,62.6,18.34
las vegas,90.0,36.17,-115.14,US,1586742673.0,45.0,70.0,9.17
broome,90.0,42.25,-75.83,US,1586742792.0,47.0,57.0,10.29
mayumba,100.0,-3.43,10.66,GA,1586742792.0,85.0,78.76,4.76
valea nucarilor,0.0,45.03,28.93,RO,1586742792.0,26.0,48.2,10.29
ocampo,100.0,21.65,-101.5,MX,1586742792.0,11.0,64.76,10.22
saint-leu,100.0,-21.15,55.28,RE,1586742792.0,78.0,75.2,6.93
vendas novas,40.0,38.68,-8.46,PT,1586742793.0,82.0,57.2,8.05
henties bay,40.0,-22.12,14.28,NA,1586742793.0,74.0,66.47,6.29
gold coast,40.0,-28.0,153.43,AU,1586742718.0,50.0,80.01,4.7
ambon,20.0,-3.7,128.18,ID,1586742793.0,52.0,91.4,3.36
longyearbyen,75.0,78.22,15.64,SJ,1586742793.0,70.0,-2.2,2.24
cabangahan,20.0,9.08,122.95,PH,1586742793.0,66.0,86.0,4.7
liverpool,99.0,53.41,-2.98,GB,1586742692.0,70.0,46.4,20.8
axim,0.0,4.87,-2.24,GH,1586742794.0,86.0,80.02,5.95
grindavik,75.0,63.84,-22.43,IS,1586742794.0,93.0,42.8,27.51
soavinandriana,6.0,-19.17,46.73,MG,1586742794.0,63.0,55.0,4.56
kilindoni,100.0,-7.91,39.67,TZ,1586742794.0,88.0,78.87,12.8
bellevue,1.0,47.61,-122.2,US,1586742650.0,15.0,59.0,10.29
eydhafushi,100.0,5.1,73.07,MV,1586742794.0,68.0,85.78,9.44
port shepstone,92.0,-30.74,30.45,ZA,1586742795.0,75.0,68.56,7.07
porto de moz,84.0,-1.75,-52.24,BR,1586742795.0,97.0,73.54,1.07
semnan,20.0,35.57,53.4,IR,1586742613.0,37.0,50.22,7.58
novikovo,75.0,51.15,37.89,RU,1586742587.0,74.0,36.48,7.7
isiro,98.0,2.77,27.62,CD,1586742795.0,79.0,67.19,1.5
dalnegorsk,0.0,44.56,135.57,RU,1586742795.0,44.0,51.13,3.22
berlevag,100.0,70.86,29.09,NO,1586742500.0,97.0,31.24,28.86
camacupa,89.0,-12.02,17.48,AO,1586742795.0,65.0,59.86,3.87
